index,min,max,median,mean,std,25th,50th,75th,90th,95th,99th
703,0.493376970291,10.3534929752,5.25323367119,5.260016306952688,2.2629785718675075,3.39736366272,5.25323367119,7.11936903,8.31862878799,8.86528968811,9.587328672405997
369,0.539981365204,11.6955354214,6.15157330036,6.0153469218082725,2.5456605414240103,3.8780919313425,6.15157330036,8.15231060982,9.332743000987,9.878251171109,10.619432337288
38,0.292578220367,9.54111456871,4.04671382904,4.043892000642593,1.789495438976225,2.5676954388575,4.04671382904,5.501907646655,6.400631046297,6.832439827916499,7.5848272991152
704,0.514009952545,8.73165488243,4.5369145870250005,4.56467143313017,1.9675335016678555,2.9284580945950003,4.5369145870250005,6.2122697234175,7.2299946308120004,7.681500267981499,8.300792384150402
370,0.725839614868,10.3320276737,5.25892782211,5.312291694713168,2.213825198490151,3.477684378625,5.25892782211,7.161573410035,8.299307870862,8.853826260564999,9.567851004600806
39,0.421571016312,10.338129282,5.11342811584,5.159755693498819,2.3082036214006707,3.2246748209,5.11342811584,7.095836400985,8.297647285462,8.832235312459998,9.546252651213
705,0.397852659225,4.3979985714,1.466009497645,1.4809442641778612,0.5793223959575615,1.01702666283,1.466009497645,1.8967122435600001,2.1661785602570003,2.3827200651155,3.159159760474899
371,0.718455791473,11.559394598,5.91023993492,5.919412296690402,2.5060182633705694,3.84205269814,5.91023993492,8.01418995857,9.264342308044,9.850910949703998,10.655433406839999
40,0.412637710571,10.7158799171,5.18070316315,5.244766822385012,2.302950049900084,3.3498933911349997,5.18070316315,7.1574465632475,8.384323620797,8.935037171839499,9.6761477327342
706,0.321043252945,6.70334982872,3.33270215988,3.346083361233024,1.4386789775283455,2.1577573418575,3.33270215988,4.53877395391,5.287846016880001,5.6308985710155,6.095357971190901
372,0.247147083282,6.55997538567,2.26290035248,2.2982215154812136,0.992154259511975,1.529934167865,2.26290035248,2.9856259822849998,3.514550161362,3.8508919715839998,5.1650197505946
41,0.182610988617,5.03251314163,1.5511906146999999,1.5776251097640899,0.6979099982152279,1.0436545014399998,1.5511906146999999,2.04227304459,2.393250846865,2.6189910411849997,3.795665242670895
707,0.519927978516,11.9955503941,5.39366722107,5.370479320777599,2.308684884829125,3.48062515259,5.39366722107,7.260382413865,8.407455921174002,8.957326674464,9.903244390488
373,1.05474734306,9.70791149139,5.471650481225,5.436971449366637,2.092858336347911,3.7173405885725,5.471650481225,7.190089404585,8.181503581998001,8.737423706055,9.2644281387328
42,0.333561182022,7.41113114357,3.38455271721,3.385702541751227,1.4469529605822753,2.19078707695,3.38455271721,4.570196390155,5.316817665099999,5.665956759448999,6.1978300762159995
708,0.20990729332,6.46387195587,2.56974077225,2.5763994414919207,1.1768225130479857,1.59070181847,2.56974077225,3.55453419685,4.13262901306,4.387213325501998,4.817765016559197
374,0.339943170547,7.47898817062,3.6329396963100002,3.6096101365567153,1.4720524253270297,2.4157813787475,3.6329396963100002,4.80028373003,5.56418526173,5.936517357830001,6.4736203551300004
43,0.235580921173,4.37071323395,1.46461033821,1.4831202347854087,0.6397329067784572,0.975258350372,1.46461033821,1.9416176676725,2.2531666755649997,2.44470930099,3.3873787116988994
709,0.463217973709,11.105025053,5.87870502472,5.781764138546917,2.548110598969666,3.641947805885,5.87870502472,7.9463566541675,9.130671691893,9.6547870516815,10.363519413515998
44,0.355033159256,9.63482499123,4.64119100571,4.643686813241849,2.00689115720924,2.99523866177,4.64119100571,6.308648467065,7.336504793164,7.803845906258999,8.4526615428966
375,0.322232723236,6.87059116364,2.30774176121,2.3204979348106947,0.9592638070882443,1.5799697637525,2.30774176121,2.9992842674249998,3.479406619073,3.7755421042395,5.072211048605398
