broker->num.network.threads,broker->num.io.threads,broker->queued.max.requests,broker->socket.receive.buffer.bytes,broker->socket.send.buffer.bytes,broker->socket.request.max.bytes,producer->buffer.memory,producer->compression.type,producer->batch.size,producer->linger.ms
16,24,5000,184519,68015,12369933,2216313,snappy,262143,100
16,24,5000,184772,68040,12365019,2216377,snappy,262143,100
16,24,5000,184484,67679,12361792,2217927,snappy,262143,100
16,24,5000,184848,67962,12369216,2218451,snappy,262143,100
16,24,5000,184434,67525,12357735,2217219,snappy,262143,100
16,24,5000,184504,67457,12363889,2216508,snappy,262143,100
16,24,5000,185055,67625,12359604,2216561,snappy,262143,100
16,24,5000,184354,67910,12359343,2216286,snappy,262143,100
16,24,5000,185019,67880,12363999,2215834,snappy,262143,100
16,24,5000,184975,67863,12367718,2217024,snappy,262143,100
16,24,5000,185120,67517,12367302,2215907,snappy,262143,100
16,24,5000,185227,67706,12361280,2217404,snappy,262143,100
16,24,5000,184907,67849,12365920,2215928,snappy,262143,100
16,24,5000,185221,67795,12364061,2215760,snappy,262143,100
16,24,5000,184296,67688,12363170,2215534,snappy,262143,100
16,24,5000,184664,67490,12359900,2215421,snappy,262143,100
16,24,5000,184445,67472,12369794,2218075,snappy,262143,100
16,24,5000,184790,67915,12358576,2217346,snappy,262143,100
16,24,5000,185067,67466,12365208,2216950,snappy,262143,100
16,24,5000,184618,67641,12357942,2217717,snappy,262143,100
16,24,5000,184762,67734,12368530,2216597,snappy,262143,100
16,24,5000,184298,67990,12360235,2216433,snappy,262143,100
16,24,5000,184577,67456,12368363,2216151,snappy,262143,100
16,24,5000,184480,67931,12361153,2217814,snappy,262143,100
16,24,5000,184990,68067,12360579,2218140,snappy,262143,100
16,24,5000,185126,67762,12369651,2216906,snappy,262143,100
16,24,5000,184462,67835,12370018,2216176,snappy,262143,100
16,24,5000,184935,68027,12369503,2217288,snappy,262143,100
16,24,5000,184456,67791,12369397,2215458,snappy,262143,100
16,24,5000,184413,67477,12368128,2216775,snappy,262143,100
16,24,5000,184535,67551,12360463,2217634,snappy,262143,100
16,24,5000,184890,67984,12363481,2215954,snappy,262143,100
16,24,5000,184968,67803,12366400,2217249,snappy,262143,100
16,24,5000,185074,67719,12368868,2215649,snappy,262143,100
16,24,5000,184797,67947,12365120,2215494,snappy,262143,100
16,24,5000,184540,67995,12360785,2218180,snappy,262143,100
16,24,5000,184234,67552,12366351,2217919,snappy,262143,100
16,24,5000,185150,67509,12364791,2217080,snappy,262143,100
16,24,5000,184735,67484,12357505,2215806,snappy,262143,100
16,24,5000,185136,68085,12358331,2217740,snappy,262143,100
16,24,5000,184746,67536,12368241,2216658,snappy,262143,100
16,24,5000,184510,67939,12358486,2218375,snappy,262143,100
16,24,5000,185176,67541,12363294,2218407,snappy,262143,100
16,24,5000,184377,67925,12362918,2217870,snappy,262143,100
16,24,5000,184268,68000,12367416,2218496,snappy,262143,100
16,24,5000,184606,67573,12361671,2215520,snappy,262143,100
16,24,5000,185111,67613,12361958,2215687,snappy,262143,100
16,24,5000,184372,67772,12364319,2216019,snappy,262143,100
16,24,5000,184637,68075,12358970,2216841,snappy,262143,100
16,24,5000,185193,67887,12364203,2216689,snappy,262143,100
16,24,5000,185209,67745,12359095,2216242,snappy,262143,100
16,24,5000,185090,67602,12364646,2218600,snappy,262143,100
16,24,5000,184283,67918,12360118,2217691,snappy,262143,100
16,24,5000,184324,67832,12368608,2217405,snappy,262143,100
16,24,5000,184895,67765,12370158,2217524,snappy,262143,100
16,24,5000,185252,67579,12366964,2218035,snappy,262143,100
16,24,5000,184845,67891,12365796,2217540,snappy,262143,100
